"name", "slug"
"Mane Club","maneclub"
"Manic Panic","manicpanic"
"MANNA KADAR BEAUTY","mannakadarbeauty"
"Marc Anthony","marcanthony"
"Marc Jacobs","marcjacobs"
"Mario Badescu","mariobadescu"
"Marvis","marvis"
"MASON MAN","masonman"
"Matrix","matrix"
"Maui Babe","mauibabe"
"Maui Moisture","mauimoisture"
"Maybelline","maybelline"
"Meaningful Beauty","meaningfulbeauty"
"megababe","megababe"
"MegRhythm","megrhythm"
"Melanin Haircare","melaninhaircare"
"Meow Meow Tweet","meowmeowtweet"
"Merci Handy","mercihandy"
"Miamica","miamica"
"Michael Kors","michaelkors"
"Michael Todd Beauty","michaeltoddbeauty"
"Milani","milani"
"Milk + Honey","milkhoney"
"Miss Spa","missspa"
"Mixed Chicks","mixedchicks"
"Montblanc","montblanc"
"Moon","moon"
"Morgan Taylor","morgantaylor"
"Morphe","morphe"
"Moschino","moschino"
"M. Skin Care","mskincare"
"MUGLER","mugler"
"Murad","murad"
"My Amazing","myamazing"
"MyChelle","mychelle"
"My Clarins","myclarins"
"Mydentity","mydentity"
"n:p beautiful","npbeautiful"
"NABLA","nabla"
"Nads Natural","nadsnatural"
"Nail Tek","nailtek"
"Nailtopia","nailtopia"
"Nair","nair"
"NARS","nars"
"Naturalicious","naturalicious"
"Naturally G4U","naturallyg4u"
"NatureLab. Tokyo","naturelabtokyo"
"NEST Fragrances","nestfragrances"
"Neuma","neuma"
"Neutrogena","neutrogena"
"Nexxus","nexxus"
"Nioxin","nioxin"
"Nivea","nivea"
"No7","no7"
"No Mo","nomo"
"Not Your Mother's","notyourmothers"
"Noughty","noughty"
"noyah","noyah"
"NUDESTIX","nudestix"
"Nuface","nuface"
"NuMe","nume"
"Nurse Jamie","nursejamie"
"NYX Professional Makeup","nyxprofessionalmakeup"
"Ofra Cosmetics","ofracosmetics"
"OGX","ogx"
"Oh K!","ohk"
"Olay","olay"
"Olio E Osso","olioeosso"
"One Love Organics","oneloveorganics"
"OPI","opi"
"ORA","ora"
"Oral-B","oralb"
"Ora Organic","oraorganic"
"Orgain","orgain"
"Origins","origins"
"Orly","orly"
"Oscar de la Renta","oscardelarenta"
"OSEA","osea"
"OUAI","ouai"
"Ouidad","ouidad"
"Pacifica","pacifica"
"Paco Rabanne","pacorabanne"
"Parissa","parissa"
"Patchology","patchology"
"PATTERN","pattern"
"Paul Mitchell","paulmitchell"
"PEACH & LILY","peachandlily"
"Peach Slices","peachslices"
"Perfect Formula","perfectformula"
"Perricone MD","perriconemd"
"Persona","persona"
"Peter Thomas Roth","peterthomasroth"
"Petite 'n Pretty","petitenpretty"
"Philips","philips"
"Philosophy","philosophy"
"Physicians Formula","physiciansformula"
"Phyto","phyto"
"Pinch Provisions ","pinchprovisions"
